name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,candidate_score,original_score,flag_contaminant,contaminant_type,info
SDSSJ1021+4913,155.29588,49.22508,PUB,,2006AJ....131...41P,True ,1.72,True,True,0.451,False,False,QUASAR,GALAXY,2.0,,1.16,True,,,,,,
J1120+6711,170.0504,67.1875,PUB,,2006AJ....131...41P,True ,1.49,True,True,,,,QUASAR,GALAXY,2.0,,1.49,False,True,3.0,,,,
J0824+3718,126.0184,37.31519,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+GALAXY,
J0845+5434,131.303,54.57263,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J1011+0043,152.8611,0.722,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+GALAXY,
J1030+5855,157.5914,58.92052,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+GALAXY,
J1041-0056,160.3451,-0.93847,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J1112-0051,168.1072,-0.85044,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,,
J1136+0338,174.0557,3.64475,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J1214+0102,183.5213,1.034722,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,,
J1251+0311,192.9246,3.194694,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J1308-0236,197.2262,-2.60372,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,,
J1339+0022,204.768,0.372805,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,,
J1433+0051,218.3182,0.862694,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J1434-0028,218.7197,-0.47447,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+OTHER,
J1441+0237,220.4379,2.628694,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J1446+0053,221.5803,0.888305,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,,
J1508-0006,227.1009,-0.10108,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,,
J1512+5539,228.1539,55.65038,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+OTHER,
J1515-0012,228.9122,-0.21133,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,,
J1521-0048,230.3319,-0.80519,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,,
J1525+0108,231.4825,1.143194,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J1530+5115,232.6189,51.254,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+OTHER,
J1541-0037,235.281,-0.62113,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J1600+0000,240.0646,0.012638,PUB,,2006AJ....131...41P,True ,1.011,True,True,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR PAIR,"Binary quasar, z = 1.01, DELTA z = 0.003"
J1605-0047,241.2999,-0.79711,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J1624+0032,246.0636,0.547527,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+OTHER,
J1717+5932,259.4482,59.54949,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,,
J1723+5244,260.7839,52.74875,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J1724+6407,261.0269,64.11963,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,,
J1725+5658,261.462,56.9833,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,,
J2129-0716,322.276,-7.27036,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J2311-1038,347.8207,-10.6471,PUB,,2006AJ....131...41P,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
