name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,candidate_score,original_score,flag_contaminant,contaminant_type,info
SDSS J001125.75-105710.4,2.85729,-10.9528,PUB,,2008AJ....135..496I,TRUE,0.641,,,,,,QUASAR,,,,0.48,FALSE,TRUE,0.5,,FALSE,,Morphological candidate; Single QSO
SDSS J004242.00+135450.0,10.67499,13.91388,PUB,,2008AJ....135..496I,TRUE,1.622,,,,,,QUASAR,,,,0.56,FALSE,TRUE,0.5,,FALSE,,Morphological candidate; Single QSO
SDSS J011229.41+151213.9,18.12254,15.20386,PUB,,2008AJ....135..496I,TRUE,1.957,,,,,,QUASAR,,,,1.12,FALSE,TRUE,1.5,,FALSE,,Morphological candidate; QSO+galaxy
SDSS J012259.49+151147.2,20.74787,15.19644,PUB,,2008AJ....135..496I,TRUE,1.276,,,,,,QUASAR,,,,0.45,FALSE,TRUE,0.25,,FALSE,,Morphological candidate; Single QSO
SDSS J020707.59-100541.6,31.78162,-10.0948,PUB,,2008AJ....135..496I,TRUE,0.662,,,,,,QUASAR,,,,0.48,FALSE,TRUE,0.25,,FALSE,,Morphological candidate; Single QSO
SDSS J021249.59+003448.7,33.20662,0.58019,PUB,,2008AJ....135..496I,TRUE,1.222,,,,,,QUASAR,,,,1.69,FALSE,TRUE,1.5,,FALSE,,Morphological candidate; QSO+galaxy; has follow-up spectrum
SDSS J021645.80-010204.8,34.19083,-1.03466,PUB,,2008AJ....135..496I,TRUE,1.087,,,,,,QUASAR,,,,0.53,FALSE,TRUE,0.25,,FALSE,,Morphological candidate; Single QSO
SDSS J024634.09-082536.1,41.64204,-8.42669,PUB,,2008AJ....135..496I,FALSE,1.685,,,,,,QUASAR,,,,1.03,TRUE,FALSE,,,FALSE,,Morphological candidate; SDSS Lens; has follow-up spectrum
SDSS J034601.93-070024.2,56.50804,-7.00672,PUB,,2008AJ....135..496I,TRUE,0.63,,,,,,QUASAR,,,,0.74,FALSE,TRUE,0.25,,FALSE,,Morphological candidate; Extended single QSO
SDSS J034801.20-070416.9,57.00499,-7.07136,PUB,,2008AJ....135..496I,TRUE,1.959,,,,,,QUASAR,,,,1.54,FALSE,FALSE,,,TRUE,QUASAR+STAR,Morphological candidate; No lensing object; C.L.: QSO+STAR based on Gaia proper motions
SDSS J041254.86-062049.8,63.22858,-6.34716,PUB,,2008AJ....135..496I,TRUE,1.266,,,,,,QUASAR,,,,0.48,FALSE,TRUE,0.25,,FALSE,,Morphological candidate; Single QSO
