name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,candidate_score,original_score,flag_contaminant,contaminant_type,info
J0302+0001,45.56176,0.02371,PUB,,2012MNRAS.419.2014J,True ,1.179,True,True,,,,QUASAR,GALAXY,,,1.5,,,,,True,QUASAR+GALAXY,
J0327+0410,51.8838,4.16669,PUB,,2012MNRAS.419.2014J,True ,3.11,True,True,,,,QUASAR,GALAXY,,,2.1,,,,,True,QUASAR+GALAXY,
J0332-0010,53.20207,-0.1701,PUB,,2012MNRAS.419.2014J,True ,0.31,True,True,,,,QUASAR,GALAXY,,,1.1,,,,,True,QUASAR+HOST,
ULASJ0743+2457,115.9692,24.96212,PUB,,2012MNRAS.419.2014J,True ,2.167,True,True,0.381,True,False,QUASAR,GALAXY,2.0,,1.03,True,,,,,,
J0745+2820,116.4875,28.33978,PUB,,2012MNRAS.419.2014J,True ,1.558,True,True,,,,QUASAR,GALAXY,,,1.5,,,,,True,QUASAR+GALAXY,
J0759+2847,119.7553,28.78428,PUB,,2012MNRAS.419.2014J,True ,2.849,True,True,,,,QUASAR,GALAXY,,,2.2,,,,,True,QUASAR+STAR,
J0819+2117,124.7924,21.29431,PUB,,2012MNRAS.419.2014J,True ,1.467,True,True,,,,QUASAR,GALAXY,,,1.6,,,,,True,QUASAR+GALAXY,
J0917+2901,139.4605,29.02707,PUB,,2012MNRAS.419.2014J,True ,1.816,True,True,,,,QUASAR,GALAXY,,,1.3,,,,,True,QUASAR+STAR,
J0918+1106,139.6316,11.11473,PUB,,2012MNRAS.419.2014J,True ,1.643,True,True,,,,QUASAR,GALAXY,,,1.2,,True,1.25,,,,
J0938+0555,144.7082,5.92245,PUB,,2012MNRAS.419.2014J,True ,1.983,True,True,,,,QUASAR,GALAXY,,,1.0,,True,1.0,,,,
J1011+0619,152.7736,6.32146,PUB,,2012MNRAS.419.2014J,True ,1.946,True,True,,,,QUASAR,GALAXY,,,1.4,,,,,True,QUASAR+GALAXY,
J1041+0918,160.4238,9.30571,PUB,,2012MNRAS.419.2014J,True ,1.068,True,True,,,,QUASAR,GALAXY,,,1.6,,,,,True,QUASAR+GALAXY,
J1123+1046,170.9282,10.77923,PUB,,2012MNRAS.419.2014J,True ,1.635,True,True,,,,QUASAR,GALAXY,,,1.8,,,,,True,QUASAR+STAR,
ULASJ1405+0959,211.3142,9.99203,PUB,,2012MNRAS.419.2014J,True ,1.81,True,True,0.66,False,True,QUASAR,GALAXY,2.0,,1.97,True,,,,,,
J1508-0006,227.1009,-0.10106,PUB,,2012MNRAS.419.2014J,True ,1.578,True,True,,,,QUASAR,GALAXY,,,1.1,,,,,True,QUASAR+GALAXY,
J1515+0257,228.9292,2.95538,PUB,,2012MNRAS.419.2014J,True ,2.034,True,True,,,,QUASAR,GALAXY,,,1.5,,,,,True,QUASAR+HOST,
J1526+0148,231.6057,1.8161,PUB,,2012MNRAS.419.2014J,True ,2.987,True,True,,,,QUASAR,GALAXY,,,2.1,,,,,True,QUASAR+STAR,
ULASJ1527+0141,231.8338,1.69433,PUB,,2012MNRAS.419.2014J,True ,1.439,True,True,0.3,False,True,QUASAR,GALAXY,2.0,,2.55,True,,,,,,
ULASJ1529+1038,232.41203,10.63454,PUB,,2012MNRAS.419.2014J,True ,1.971,True,True,,,,QUASAR,GALAXY,2.0,,1.31,True,,,,,,
J1551+2618,237.7673,26.30722,PUB,,2012MNRAS.419.2014J,True ,0.241,True,True,,,,QUASAR,GALAXY,,,1.8,,,,,True,QUASAR+HOST,
