name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,candidate_score,original_score,flag_contaminant,contaminant_type,info
SDSSJ0033+2015,8.406625,20.26061,PUB,,2016MNRAS.456.1595M,True ,2.701,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,
SDSSJ0035+2659,8.88325,26.99997,PUB,,2016MNRAS.456.1595M,True ,2.294,True,True,,,,QUASAR,GALAXY,,,,,True,1.25,,,,Different SED
SDSSJ0114+0722,18.65991,7.374583,PUB,,2016MNRAS.456.1595M,True ,1.828,True,True,0.408,,,QUASAR,GALAXY,2.0,,1.7,True,,,,,,
SDSSJ0139+1908,24.91954,19.14463,PUB,,2016MNRAS.456.1595M,True ,3.095,True,True,,,,QUASAR,GALAXY,,,,,True,0.5,,,,
SDSSJ0206+0440,31.70624,4.671944,PUB,,2016MNRAS.456.1595M,True ,2.396,True,True,,,,QUASAR,GALAXY,,,,,True,0.5,,,,Different SED
SDSSJ0213-0421,33.34524,-4.35952,PUB,,2016MNRAS.456.1595M,True ,1.91,True,True,,,,QUASAR,GALAXY,,,,,,,,True,PROJECTED QUASARS,Quasar pair z = 1.911&0.992
SDSSJ0256+0153,44.16983,1.891472,PUB,,2016MNRAS.456.1595M,True ,2.6,True,True,0.603,,,QUASAR,GALAXY,2.0,,1.93,True,,,,,,
SDSSJ0737+4825,114.2861,48.43086,PUB,,2016MNRAS.456.1595M,True ,2.892,True,True,,,,QUASAR,GALAXY,2.0,,1.54,True,,,,,,
SDSSJ0757+2150,119.3355,21.83547,PUB,,2016MNRAS.456.1595M,True ,2.128,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+GALAXY,Quasar+galaxy at z = 0.118
SDSSJ0818+0601,124.6269,6.027222,PUB,,2016MNRAS.456.1595M,True ,2.381,True,True,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR PAIR,Quasar pair z = 2.359&2.361
SDSSJ0821+0735,125.4306,7.596083,PUB,,2016MNRAS.456.1595M,True ,2.378,True,True,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR PAIR,Quasar pair z = 2.383&2.387
SDSSJ0821+4542,125.4944,45.71233,PUB,,2016MNRAS.456.1595M,True ,2.066,True,True,0.349,,,QUASAR,GALAXY,2.0,,1.35,True,,,,,,
SDSSJ0826+4248,126.7207,42.80494,PUB,,2016MNRAS.456.1595M,True ,1.942,True,True,,,,QUASAR,GALAXY,,,,,True,1.7,,,,Inconclusive
SDSSJ0847+1504,131.8415,15.08061,PUB,,2016MNRAS.456.1595M,True ,3.28,True,True,,,,QUASAR,GALAXY,,,,,True,1.0,,,,Different SED
SDSSJ0921+2854,140.3144,28.9123,PUB,,2016MNRAS.456.1595M,True ,1.41,True,True,0.445,,,QUASAR,GALAXY,2.0,,1.89,True,,,,,,
SDSSJ0928+4332,142.1632,43.54511,PUB,,2016MNRAS.456.1595M,True ,3.698,True,True,,,,QUASAR,GALAXY,,,,,,,,True,PROJECTED QUASARS,Quasar pair z = 3.694&2.995
SDSSJ0930+4614,142.5881,46.23966,PUB,,2016MNRAS.456.1595M,True ,2.397,True,True,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR PAIR,Quasar pair z = 2.393&2.394
SDSSJ0958+0744,149.676,7.739777,PUB,,2016MNRAS.456.1595M,True ,2.781,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+GALAXY,Quasar+galaxy at z = 0.158
SDSSJ1001+0156,150.4206,1.945305,PUB,,2016MNRAS.456.1595M,True ,2.202,True,True,,,,QUASAR,GALAXY,,,,,True,0.5,,,,Different SED
SDSSJ1043+4320,160.8536,43.34705,PUB,,2016MNRAS.456.1595M,True ,2.234,True,True,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR PAIR,Quasar pair z = 2.245&2.225
SDSSJ1108+4726,167.1177,47.43933,PUB,,2016MNRAS.456.1595M,True ,3.627,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+GALAXY,Quasar+galaxy at z = 0.385
SDSSJ1124+5710,171.2301,57.18236,PUB,,2016MNRAS.456.1595M,True ,2.312,True,True,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR PAIR,Quasar pair z = 2.309&2.315
SDSSJ1125+5020,171.4274,50.34319,PUB,,2016MNRAS.456.1595M,True ,1.066,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+GALAXY,Quasar+galaxy at z = 0.385
SDSSJ1138+5254,174.6605,52.90505,PUB,,2016MNRAS.456.1595M,True ,2.758,True,True,,,,QUASAR,GALAXY,,,,,True,2.0,,,,Different SED
SDSSJ1139-0014,174.8687,-0.23836,PUB,,2016MNRAS.456.1595M,True ,3.084,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,
SDSSJ1152+2235,178.044,22.58866,PUB,,2016MNRAS.456.1595M,True ,2.902,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,
SDSSJ1248+6104,192.2493,61.07508,PUB,,2016MNRAS.456.1595M,True ,2.591,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,
SDSSJ1254+1857,193.6682,18.95333,PUB,,2016MNRAS.456.1595M,True ,1.717,True,True,0.555,,,QUASAR,GALAXY,2.0,,2.32,True,,,,,,
SDSSJ1309+5617,197.3647,56.29413,PUB,,2016MNRAS.456.1595M,True ,2.505,True,True,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR PAIR,Quasar pair z = 2.513&2.515
SDSSJ1319+5023,199.8585,50.38486,PUB,,2016MNRAS.456.1595M,True ,2.301,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+GALAXY,Quasar+galaxy at z = 0.088
SDSSJ1322+3038,200.52,30.64394,PUB,,2016MNRAS.456.1595M,True ,2.233,True,True,,,,QUASAR,GALAXY,,,,,True,2.75,,,,Inconclusive
SDSSJ1330+3800,202.5305,38.01177,PUB,,2016MNRAS.456.1595M,True ,2.254,True,True,,,,QUASAR,GALAXY,2.0,,1.44,True,,,,,,
SDSSJ1405+1350,211.4871,13.84397,PUB,,2016MNRAS.456.1595M,True ,2.342,True,True,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR PAIR,Quasar pair z = 2.345&2.361
SDSSJ1412+5204,213.0424,52.07313,PUB,,2016MNRAS.456.1595M,True ,2.952,True,True,,,,QUASAR,GALAXY,2.0,,1.53,True,,,,,,
SDSSJ1429+2523,217.4091,25.39538,PUB,,2016MNRAS.456.1595M,True ,3.904,True,True,,,,QUASAR,GALAXY,,,,,True,2.0,,,,Different SED
SDSSJ1442+4055,220.7282,40.92655,PUB,,2016MNRAS.456.1595M,True ,2.575,True,True,,,,QUASAR,GALAXY,2.0,,2.13,True,,,,,,
SDSSJ1452+4224,223.0479,42.40822,PUB,,2016MNRAS.456.1595M,True ,4.819,True,True,0.382,,,QUASAR,GALAXY,2.0,,1.59,True,,,,,,
SDSSJ1458-0202,224.6982,-2.03497,PUB,,2016MNRAS.456.1595M,True ,1.724,True,True,,,,QUASAR,GALAXY,2.0,,2.15,True,,,,,,
SDSSJ1508+3037,227.0929,30.62977,PUB,,2016MNRAS.456.1595M,True ,2.449,True,True,,,,QUASAR,GALAXY,,,,,True,1.0,,,,Inconclusive
SDSSJ1537+3014,234.3935,30.24825,PUB,,2016MNRAS.456.1595M,True ,1.553,True,True,0.49,,,QUASAR,GALAXY,2.0,,2.08,True,,,,,,
SDSSJ1548+2830,237.2114,28.50397,PUB,,2016MNRAS.456.1595M,True ,3.227,True,True,,,,QUASAR,GALAXY,,,,,,,,True,PROJECTED QUASARS,Quasar pair z = 3.208&1.487
SDSSJ1551+3303,237.9042,33.05544,PUB,,2016MNRAS.456.1595M,True ,3.806,True,True,,,,QUASAR,GALAXY,,,,,True,1.0,,,,Different SED
SDSSJ1552+2401,238.0891,24.02308,PUB,,2016MNRAS.456.1595M,True ,3.674,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,
SDSSJ1554+2616,238.548,26.27658,PUB,,2016MNRAS.456.1595M,True ,2.321,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,
SDSSJ1556+1731,239.0992,17.52261,PUB,,2016MNRAS.456.1595M,True ,2.814,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+GALAXY,Quasar+galaxy at z = 0.109
SDSSJ1600+3148,240.1199,31.8088,PUB,,2016MNRAS.456.1595M,True ,2.331,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,
SDSSJ1611+0844,242.7734,8.743166,PUB,,2016MNRAS.456.1595M,True ,4.548,True,True,,,,QUASAR,GALAXY,,,,,True,1.0,,,,Different SED
SDSSJ1627+5553,246.8195,55.89361,PUB,,2016MNRAS.456.1595M,True ,4.072,True,True,,,,QUASAR,GALAXY,,,,,True,1.0,,,,Different SED
SDSSJ1712+2516,258.1339,25.2735,PUB,,2016MNRAS.456.1595M,True ,2.604,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,
SDSSJ1715+2831,258.8221,28.52486,PUB,,2016MNRAS.456.1595M,True ,2.023,True,True,,,,QUASAR,GALAXY,,,,,True,1.0,,,,Different SED
SDSSJ2146-0047,326.6917,-0.79563,PUB,,2016MNRAS.456.1595M,True ,2.381,True,True,,,,QUASAR,GALAXY,,,1.39,True,,,,,,
SDSSJ2220-0050,335.1721,-0.83763,PUB,,2016MNRAS.456.1595M,True ,2.602,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,
