name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
SDSSJ0734+2733,113.5281,27.5654,PUB,,2016MNRAS.456.1948S,True,1.918,True,True,,,,QUASAR,GALAXY,,,2.55,,,,,True,QUASAR+OTHER,
SDSSJ0735+2036,113.8941,20.6095,PUB,,2016MNRAS.456.1948S,True,2.189,True,True,,,,QUASAR,GALAXY,,,3.68,,,,,True,QUASAR+STAR,
SDSSJ0755+1400,118.833,14.0116,PUB,,2016MNRAS.456.1948S,True,0.845,True,True,,,,QUASAR,GALAXY,,,2.14,,True,1.25,,,,
SDSSJ1239+4447,189.7637,44.7837,PUB,,2016MNRAS.456.1948S,True,2.037,True,True,,,,QUASAR,GALAXY,,,1.77,,True,1.5,,,,
SDSSJ1410+2340,212.5183,23.6819,PUB,,2016MNRAS.456.1948S,True,2.449,True,True,,,,QUASAR,GALAXY,,,3.58,,True,0.5,,,,
SDSSJ1442+4055,220.7282,40.9265,PUB,,2016MNRAS.456.1948S,True,2.575,True,True,,,,QUASAR,GALAXY,2.0,,2.07,True,,,,,,
SDSSJ1523+1220,230.8114,12.3363,PUB,,2016MNRAS.456.1948S,True,2.403,True,True,,,,QUASAR,GALAXY,,,2.19,,,,,True,QUASAR+STAR,"Sergeyev et al. 2016 suggest unlikely for this object, and subsequent Gaia proper motions show that the Northern component must be a star."
SDSSJ1526+0151,231.6304,1.8508,PUB,,2016MNRAS.456.1948S,True,3.167,True,True,,,,QUASAR,GALAXY,,,1.41,,True,1.8,,,,
SDSSJ1554+2616,238.548,26.2766,PUB,,2016MNRAS.456.1948S,True,2.321,True,True,,,,QUASAR,GALAXY,,,2.16,,,,,True,QUASAR+STAR,"Sergeyev et al. 2016 suggest unlikely for this object, and subsequent Gaia proper motions show that the Northern component must be a star."
SDSSJ1600+1028,240.0607,10.4812,PUB,,2016MNRAS.456.1948S,True,1.535,True,True,,,,QUASAR,GALAXY,,,1.28,,,,,True,QUASAR+STAR,"Sergeyev et al. 2016 suggest unlikely for this object, and subsequent Gaia proper motions show that the Northern component must be a star."
SDSSJ1617+3827,244.4705,38.4603,PUB,,2016MNRAS.456.1948S,True,2.079,True,True,,,,QUASAR,GALAXY,2.0,,2.12,True,,,,,,
SDSSJ1619+1621,244.8785,16.3563,PUB,,2016MNRAS.456.1948S,True,2.426,True,True,,,,QUASAR,GALAXY,,,2.63,,,,,True,QUASAR+STAR,"Sergeyev et al. 2016 suggest unlikely for this object, and subsequent Gaia proper motions show that the Northern component must be a star."
SDSSJ1642+3200,250.7128,32.0081,PUB,,2016MNRAS.456.1948S,True,2.263,True,True,,,,QUASAR,GALAXY,2.0,,2.91,,True,2.75,,,,
SDSSJ1648+3400,252.2431,34.0166,PUB,,2016MNRAS.456.1948S,True,2.144,True,True,,,,QUASAR,GALAXY,,,1.37,,True,0.5,,,,Gaia proper motions suggest the fainter (Eastern) component is a star
SDSSJ1655+1948,253.9315,19.8131,PUB,,2016MNRAS.456.1948S,True,3.261,True,True,,,,QUASAR,GALAXY,,,3.85,,,,,True,,
SDSSJ2053-0100,313.3875,1.0162,PUB,,2016MNRAS.456.1948S,True,2.207,True,True,,,,QUASAR,GALAXY,,,1.43,,True,0.5,,,,
SDSSJ2153+2732,328.3178,27.543,PUB,,2016MNRAS.456.1948S,True,2.216,True,True,,,,QUASAR,GALAXY,,,3.62,,True,0.5,,,,Both components have SDSS spectra with possibly differing redshifts and different absorption. Likely quasar pair given lack of lensing galaxy candidate.
