name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,candidate_score,original_score,flag_contaminant,contaminant_type,info
J0941+0518,145.34355,5.307,PUB,,2018MNRAS.477L..70W,TRUE,1.54,TRUE,TRUE,0.343,TRUE,TRUE,QUASAR,,2.0,,,TRUE,FALSE,,,False,,"Lens; observed with  ESI, OSIRIS  ; selected by  PopMix, OutlierSel  ; comment: also independently selected by Lemon et al. 2018"
J1640+1045,250.07599,10.7514,PUB,,2018MNRAS.477L..70W,TRUE,1.7,TRUE,TRUE,,,,QUASAR,,2.0,,,TRUE,FALSE,,,False,,Lens; observed with DEIMOS ; selected by OutlierSel; comment: also independently selected by Lemon et al. 2018
J2257+2349,344.35586,23.8251,PUB,,2018MNRAS.477L..70W,TRUE,2.11,TRUE,TRUE,,,,QUASAR,,2.0,,,TRUE,FALSE,,,False,,"Lens; observed with  EFOSC2, NIRC2  ; selected by OutlierSel; comment: "
J2211+1929,332.87638,19.487,PUB,,2018MNRAS.477L..70W,FALSE,1.07,TRUE,TRUE,,,,QUASAR,,,,,,FALSE,,,False,,"Lens; observed with  EFOSC2, ESI, NIRC2   ; selected by PopMix; comment: HS 2209+1914"
J0048+2505,12.14571,25.0897,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,TRUE,0.5,,False,,Inconclusive; observed with NIRC2 ; selected by OutlierSel; comment: two point sources
J0118+4718,19.7397,47.3148,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,TRUE,0.5,,False,,Inconclusive; observed with NIRC2 ; selected by OutlierSel; comment: two point sources
J0130+4110,22.5127,41.1726,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,FALSE,,,TRUE,STARS,Inconclusive; observed with NIRC2 ; selected by OutlierSel; comment: two point sources; C.L.: Stars based on Gaia proper motions
J0213+1306,33.32627,13.11218,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,TRUE,0.1,,False,,Inconclusive; observed with NIRC2 ; selected by OutlierSel; comment: bad AO correction
J0252+3420,43.073,34.3382,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,FALSE,,,TRUE,QUASAR+STAR,Inconclusive; observed with NIRC2 ; selected by OutlierSel; comment: two point sources; C.L.: STAR based on Gaia proper motions
J0252-0855,43.08799,-8.921,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,TRUE,0.1,,,,Inconclusive; observed with NIRC2 ; selected by OutlierSel; comment: two point sources
J0852-0148,133.22458,-1.814,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,TRUE,,,,,"Inconclusive; observed with  ESI, SAM   ; selected by PopMix; comment: two point sources"
J0930+4614,142.58817,46.23968,PUB,,2018MNRAS.477L..70W,TRUE,2.38,TRUE,TRUE,,,,QUASAR,,,,,,TRUE,1.25,,,,"Inconclusive; observed with ESI ; selected by OutlierSel; comment:  two traces visible, but too faint to confirm  "
J0932+0722,143.0298,7.38092,PUB,,2018MNRAS.477L..70W,TRUE,1.99,TRUE,TRUE,,,,QUASAR,,,,,,TRUE,1.5,,,,"Inconclusive; observed with  EFOSC2, SAM  ; selected by OutlierSel; comment: two point sources"
J1010+5705,152.71305,57.0919,PUB,,2018MNRAS.477L..70W,TRUE,1.97,TRUE,TRUE,,,,QUASAR,,,,,,FALSE,,,TRUE,QUASAR+STAR,"Inconclusive; observed with ESI ; selected by PopMix; comment:  one obvious, possibly two blended traces ; C.L.: Quasar + star based on Gaia proper motion"
J1013+1041,153.41692,10.68779,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,FALSE,,,TRUE,QUASAR+STAR,Inconclusive; observed with SAM ; selected by PopMix; comment: two point sources; C.L.: Quasar + star based on Gaia proper motion
J1700+0058,255.10005,0.97087,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,FALSE,,,TRUE,QUASAR+STAR,Inconclusive; observed with NIRC2 ; selected by OutlierSel; comment: two point sources; C.L.: Quasar + star based on Gaia proper motion
J2103+1100,315.84197,11.00532,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,TRUE,0.25,,,,Inconclusive; observed with NIRC2 ; selected by OutlierSel; comment: two point sources
J2209+0045,332.27882,0.76218,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,TRUE,0.25,,,,"Inconclusive; observed with  NIRC2, EFOSC2, SAM   ; selected by OutlierSel; comment: two point sources; C.L.: very unlikely at this redshift"
J2246+3118,341.69171,31.30472,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,TRUE,1.0,,,,Inconclusive; observed with NIRC2 ; selected by OutlierSel; comment: two point sources
J2352+0105,358.1587,1.09787,PUB,,2018MNRAS.477L..70W,TRUE,2.15,TRUE,TRUE,0.83,FALSE,TRUE,QUASAR,,,,,,TRUE,0.1,,,,Inconclusive; observed with ESI ; selected by PopMix; comment: one obvious trace
J2353-0539,358.46255,-5.66552,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,FALSE,,,TRUE,QUASAR+STAR,"Not a lens; observed with  NIRC2, EFOSC2  ; selected by PopMix; comment: QSO + star"
J0037+0111,9.33269,1.18742,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,FALSE,,,TRUE,QUASAR+GALAXY,Not a lens; observed with NIRC2 ; selected by OutlierSel; comment: point source + galaxy
J0120+2654,20.01903,26.91533,PUB,,2018MNRAS.477L..70W,TRUE,,,,,,,QUASAR,,,,,,FALSE,,,TRUE,QUASAR+GALAXY,Not a lens; observed with NIRC2 ; selected by OutlierSel; comment: point source + galaxy
