name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,candidate_score,original_score,flag_contaminant,contaminant_type,info
WGD0120-4354,20.026573,-43.911281,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,1.2,,,,
WGD0146-1133,26.636987,-11.560821,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,,,,,
WGD0210-4612,32.728207,-46.214376,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,1.5,,,,
WGD0235-2433,38.864257,-24.553678,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,,,,,
WGD0259-2338,44.889649,-23.63383,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,,,,,
WGD0317-5645,49.429068,-56.081904,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,1.5,,,,
WGD0334-4535,53.672139,-45.064588,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,1.5,,,,
WGD0354-3333,58.738739,-33.560711,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,,,,True,QUASAR+STAR,C.L.: Based on Gaia proper motion
WGD0448-2719,72.180042,-27.325524,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,,,,True,QUASAR+STAR,C.L.: Based on Gaia proper motion
WGD0508-2748,77.013318,-27.80528,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,2.0,,,,
WGD0630-3837,90.783347,-38.628656,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,,,,True,QUASAR+STAR,C.L.: Based on Gaia proper motion
WGD2021-4115,305.414396,-41.265865,PUB,,2018MNRAS.479.4345A,TRUE,1.39,True,True,0.335,True,True,QUASAR,GALAXY,2.0,,2.75,True,,,,,,
WGD2038-4008,309.511278,-40.137107,PUB,,2018MNRAS.479.4345A,TRUE,0.777,True,True,0.23,True,True,QUASAR,GALAXY,4.0,,,True,,,,,,
WGD2047-4814,311.862059,-48.029964,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,0.5,,,,
WGD2139-4331,324.988092,-43.517187,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,,,,True,QUASAR+STAR,C.L.: Based on Gaia proper motion
WGD2141-4629,325.453535,-46.496119,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,0.25,,,,
WGD2144-4228,316.18399,-42.481507,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,,,,True,QUASAR+STAR,C.L.: Based on Gaia proper motion
WGD2332-4934,353.042968,-49.568522,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,,,,True,QUASAR+STAR,C.L.: Based on Gaia proper motion
WGD0150-4041,27.736921,-40.695568,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,,,,,
WGD0245-0556,41.356506,-5.950145,PUB,,2018MNRAS.479.4345A,TRUE,,,,,,,QUASAR,GALAXY,2.0,,,,TRUE,,,,,
