name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,candidate_score,original_score,flag_contaminant,contaminant_type,info
J0003+4555,0.96401,45.92215,PUB,,2018MNRAS.479.5060L,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J0011-0845,2.83435,-8.76407,PUB,,2018MNRAS.479.5060L,True ,1.7,True ,True ,,,,QUASAR,GALAXY,2.0,,1.92,True ,,,,,,
J0028+0631,7.09369,6.53195,PUB,,2018MNRAS.479.5060L,True ,1.06,True ,True ,,,,QUASAR,GALAXY,2.0,,2.78,True ,,,,,,
J0030-1525,7.56378,-15.41752,PUB,,2018MNRAS.479.5060L,True ,3.36,True ,True ,,,,QUASAR,GALAXY,4.0,FOLD,1.78,True ,,,,,,
J0123-0455,20.84084,-4.93266,PUB,,2018MNRAS.479.5060L,True ,1.38,True ,True ,,,,QUASAR,GALAXY,2.0,,2.0,True ,,,,,,
J0127-1441,21.78539,-14.68861,PUB,,2018MNRAS.479.5060L,True ,1.76,True ,True ,,,,QUASAR,GALAXY,,,,,True ,,,,,
J0139+3526,24.88888,35.43658,PUB,,2018MNRAS.479.5060L,True ,0.65,True ,True ,,,,QUASAR,GALAXY,,,,,True ,,,,,
J0140-1152,25.01231,-11.872,PUB,,2018MNRAS.479.5060L,True ,1.8,True ,True ,0.28,True,False,QUASAR,GALAXY,2.0,,1.45,True ,,,,,,
J0140+4107,25.2042,41.13331,PUB,,2018MNRAS.479.5060L,True ,2.5,True ,True ,,,,QUASAR,GALAXY,2.0,,1.44,True ,True ,,,,,
J0146-1133,26.63691,-11.56113,PUB,,2018MNRAS.479.5060L,True ,1.44,True ,True ,,,,QUASAR,GALAXY,,,1.69,,,,,,,
J0232-2429,38.06565,-24.49433,PUB,,2018MNRAS.479.5060L,True ,,,,,,,QUASAR,GALAXY,,,,,True ,,,,,
J0235-2433,38.86431,-24.55356,PUB,,2018MNRAS.479.5060L,True ,1.44,True ,True ,,,,QUASAR,GALAXY,2.0,,2.05,True ,,,,,,
J0259-2338,44.88961,-23.63388,PUB,,2018MNRAS.479.5060L,True ,1.19,True ,True ,,,,QUASAR,GALAXY,2.0,,2.92,True ,,,,,,
J0322+5024,50.71298,50.41402,PUB,,2018MNRAS.479.5060L,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,STAR+STAR,
J0417+3325,64.49682,33.417,PUB,,2018MNRAS.479.5060L,True ,1.41,True ,True ,,,,QUASAR,GALAXY,2.0,,1.59,True ,,,,,,
J0511-0351,77.91098,-3.85049,PUB,,2018MNRAS.479.5060L,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+OTHER,
J0515+0652,78.75772,6.86855,PUB,,2018MNRAS.479.5060L,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+OTHER,
J0616+4912,94.13678,49.20712,PUB,,2018MNRAS.479.5060L,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,QUASAR+STAR,
J0630-1201,97.53796,-12.02223,PUB,,2018MNRAS.479.5060L,True ,3.34,True ,True ,,,,QUASAR,GALAXY PAIR,5.0,CUSP,1.9,True ,,,,,,
J0659+5217,104.92159,52.28907,PUB,,2018MNRAS.479.5060L,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,STAR+STAR,
J0723+4739,110.9366,47.65259,PUB,,2018MNRAS.479.5060L,True ,,,,,,,QUASAR,GALAXY,,,,,True ,,,,,Inconclusive
J0740+2926,115.05603,29.44677,PUB,,2018MNRAS.479.5060L,True ,0.98,True ,True ,,,,QUASAR,GALAXY,,,,,True ,,,,,
J0812+3349,123.22844,33.83062,PUB,,2018MNRAS.479.5060L,True ,1.49,True ,True ,,,,QUASAR,GALAXY,,,,,True ,,,,,
J0822+6659,125.57509,66.99985,PUB,,2018MNRAS.479.5060L,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,STAR+STAR,
J0823+4929,125.876,49.48748,PUB,,2018MNRAS.479.5060L,True ,,,,,,,QUASAR,GALAXY,,,,,,,,True ,PROJECTED QUASARS,
