name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
DESJ0405-3308,61.49917,-33.14761,PUB,,2018MNRAS.480.5017A,True,1.713,True,True,,,,QUASAR,GALAXY,4.0,CROSS,1.38,True,False,,,False,,
DESJ0407-5006,61.79258,-50.10025,PUB,,2018MNRAS.480.5017A,True,1.515,True,True,,,,QUASAR,GALAXY,2.0,,1.69,True,False,,,False,,
DESJ0215-4728,33.85092,-47.47922,PUB,,2018MNRAS.480.5017A,True,1.692,True,True,,,,QUASAR,,,,1.07,,False,,,True,PROJECTED QUASARS,"z1 = 1.692, z2 = 0.467"
DESJ0240-0208,40.07667,-2.147278,PUB,,2018MNRAS.480.5017A,True,0.467,True,True,,,,QUASAR,,,,0.94,,False,,,True,PROJECTED QUASARS,"z1 = 1.685, z2 = 1.058"
DESJ0425-4539,66.47179,-45.65981,PUB,,2018MNRAS.480.5017A,True,1.02,True,True,,,,QUASAR,,,,1.9,,False,,,True,PROJECTED QUASARS,"z1 = 1.020, z2 = 0.913"
DESJ2303-4844,345.87458,-48.74181,PUB,,2018MNRAS.480.5017A,True,2.02,True,True,,,,QUASAR,,,,2.21,,False,,,True,PROJECTED QUASARS,"z1 = 2.020, z2 = 1.164"
DESJ0053+0020,13.25796,0.34525,PUB,,2018MNRAS.480.5017A,True,1.32,True,True,,,,QUASAR,,,,1.12,,False,,,True,QUASAR+STAR,
DESJ0325-4518,51.49758,-45.30581,PUB,,2018MNRAS.480.5017A,True,0.695,True,True,,,,QUASAR,,,,2.13,,False,,,True,QUASAR+STAR,
DESJ0516-6020,79.23708,-60.3421,PUB,,2018MNRAS.480.5017A,True,1.039,True,True,,,,QUASAR,,,,2.52,,False,,,True,QUASAR+STAR,
DESJ2103-5800,315.99221,-58.01361,PUB,,2018MNRAS.480.5017A,True,0.905,True,True,,,,QUASAR,,,,2.15,,False,,,True,QUASAR+STAR,
DESJ2154-4410,328.61042,-44.179,PUB,,2018MNRAS.480.5017A,True,1.75,True,True,,,,QUASAR,,,,1.94,,False,,,True,QUASAR+STAR,
DESJ2217+0138,334.29425,1.6356,PUB,,2018MNRAS.480.5017A,True,1.693,True,True,,,,QUASAR,,,,1.84,,False,,,True,QUASAR+STAR,
DESJ2306-5657,346.50958,-56.9654,PUB,,2018MNRAS.480.5017A,True,1.01,True,True,,,,QUASAR,,,,2.17,,False,,,True,QUASAR+STAR,
DESJ0043-4110,10.77863,-41.1757,PUB,,2018MNRAS.480.5017A,True,0.882,True,True,,,,QUASAR,,,,3.17,,False,,,True,QUASAR+GALAXY,
DESJ0438-3416,69.73808,-34.2694,PUB,,2018MNRAS.480.5017A,True,1.097,True,True,,,,QUASAR,,,,2.09,,False,,,True,QUASAR+GALAXY,
DESJ0444-3718,71.00917,-37.3088,PUB,,2018MNRAS.480.5017A,True,1.345,True,True,,,,QUASAR,,,,3.53,,False,,,True,QUASAR+GALAXY,
DESJ2326-4805,351.60725,-48.0968,PUB,,2018MNRAS.480.5017A,True,1.3464,True,True,,,,QUASAR,,,,1.84,,False,,,True,QUASAR+GALAXY,
DESJ0137-0222,24.3875,-2.3785,PUB,,2018MNRAS.480.5017A,True,,,,,,,QUASAR,,,,0.85,,False,,,True,STAR-FORMING GALAXY,
DESJ0253-0504,43.49067,-5.0819,PUB,,2018MNRAS.480.5017A,True,,,,,,,QUASAR,,,,0.95,,False,,,True,STAR-FORMING GALAXY,
DESJ0402-1523,60.64913,-15.3912,PUB,,2018MNRAS.480.5017A,True,,,,,,,QUASAR,,,,1.87,,False,,,True,STAR-FORMING GALAXY,
DESJ0440-2008,70.1785,-20.1386,PUB,,2018MNRAS.480.5017A,True,,,,,,,QUASAR,,,,1.49,,False,,,True,STAR-FORMING GALAXY,
DESJ0443-3308,70.81933,-33.14586,PUB,,2018MNRAS.480.5017A,True,,,,,,,QUASAR,,,,0.91,,False,,,True,STAR-FORMING GALAXY,
DESJ0451-3410,72.90513,-34.16833,PUB,,2018MNRAS.480.5017A,True,,,,,,,QUASAR,,,,0.99,,False,,,True,STAR-FORMING GALAXY,
DESJ0600-2847,90.01571,-28.7996,PUB,,2018MNRAS.480.5017A,True,,,,,,,QUASAR,,,,0.98,,False,,,True,STAR-FORMING GALAXY,
DESJ2047-4801,311.86208,-48.02997,PUB,,2018MNRAS.480.5017A,True,,,,,,,QUASAR,,,,3.7,,False,,,True,STAR-FORMING GALAXY,
DESJ0058-6120,14.57113,-61.3346,PUB,,2018MNRAS.480.5017A,True,1.322,True,True,,,,QUASAR,,,,3.03,,True,,,,,QUASAR PAIR
DESJ0120-4354,20.02658,-43.9113,PUB,,2018MNRAS.480.5017A,True,1.91,True,True,,,,QUASAR,,,,0.84,,True,,,,,QUASAR PAIR
DESJ0544-5922,86.12763,-59.3774,PUB,,2018MNRAS.480.5017A,True,1.319,True,True,,,,QUASAR,,,,1.24,,True,,,,,QUASAR PAIR
DESJ2141-4629,325.45354,-46.496,PUB,,2018MNRAS.480.5017A,True,1.762,True,True,,,,QUASAR,,,,0.91,,True,,,,,QUASAR PAIR
DESJ2200-4719,330.1625,-47.3167,PUB,,2018MNRAS.480.5017A,True,1.608,True,True,,,,QUASAR,,,,3.6,,True,,,,,QUASAR PAIR
DESJ2250-6047,342.533,-60.78975,PUB,,2018MNRAS.480.5017A,True,1.08,True,True,,,,QUASAR,,,,2.02,,True,,,,,QUASAR PAIR
DESJ2337+0056,354.30692,0.9363,PUB,,2018MNRAS.480.5017A,False,0.71,True,True,,,,QUASAR,,,,1.35,,True,,,,,
DESJ0230-0704,37.51908,-7.0794,PUB,,2018MNRAS.480.5017A,True,2.01,True,True,,,,QUASAR,,,,0.57,,True,,,,,QUASAR+OTHER
DESJ0509-2350,77.30321,-23.84703,PUB,,2018MNRAS.480.5017A,True,2.08,True,True,,,,QUASAR,,,,1.99,,True,,,,,QUASAR+OTHER
