name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
GRALJ2141+3141,325.29226,31.68543,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ0530-3730,82.65415,-37.50307,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,True,False,,,,,
GRALJ1537-3010,234.35555,-30.17139,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ1131-4419,172.75004,-44.3333,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,True,False,,,False,,
GRALJ081602164-530722970,124.00904,-53.12304,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ175443398+214054818,268.68082,21.68187,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ0659+1629,104.76682,16.48577,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ182244519-541451730,275.68552,-54.2477,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ054934271+051814610,87.39279,5.30404,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ075933618-173212537,119.8901,-17.53681,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ1817+2729,274.37855,27.49447,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ0248+1913,42.2031,19.22514,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ2014-3024,303.72562,-30.41449,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ2017+6204,304.45436,62.07877,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
GRALJ011559515+562506671,18.9982,56.4185,PUB,,2019A&A...622A.165D,True,,,,,,,QUASAR,GALAXY,4.0,,,,True,,,,,
