name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
KIDSJ0000-3502,0.238,-35.0485,PUB,,2019A&A...632A..56K,True,,,,,,,QUASAR,GALAXY,,,1.0,,True,1.25,,,,Low-separation double 
KIDSJ0139-3103,24.99583,-31.0597,PUB,,2019A&A...632A..56K,True,,,,,,,QUASAR,GALAXY,,,1.6,,True,1.5,,,,Low-separation double 
KIDSJ0201-3208,30.3125,-32.1429,PUB,,2019A&A...632A..56K,True,,,,,,,QUASAR,GALAXY,,,1.6,,True,1.5,,,,Low-separation double 
KIDSJ1334-0120,203.5458,-1.34783,PUB,,2019A&A...632A..56K,True,,,,,,,QUASAR,GALAXY,,,1.1,,True,1.25,,,,Low-separation double 
KIDSJ0008-3237,2.06667,-32.621,PUB,,2019A&A...632A..56K,True,,,,,,,GALAXY,GALAXY,,,2.7,,True,,,,,Gravitational arc 
KIDSJ0106-2917,16.7075,-29.2867,PUB,,2019A&A...632A..56K,True,,,,,,,QUASAR,GALAXY,,,3.4,,True,0.25,,,,Double with large shear 
KIDSJ0206-2855,31.62858,-28.9283,PUB,,2019A&A...632A..56K,True,,,,,,,QUASAR,GALAXY,,,1.2,,True,0.75,,,,Low-separation double 
KiDSJ0208-3203,32.22149,-32.0343,PUB,,2019A&A...632A..56K,True,,,,,,,QUASAR,GALAXY,,,2.0,,True,0.1,,,,Cross Quad candidate 
KIDSJ0215-2909,33.80999,-29.1571,PUB,,2019A&A...632A..56K,True,,,,,,,QUASAR,GALAXY,,,3.2,,True,1.25,,,,Fold Quad candidate 
KIDSJ1204+0034,181.2357,0.56834,PUB,,2019A&A...632A..56K,True,,,,,,,QUASAR,GALAXY,,,4.6,,True,1.0,,,,Large-separation double 
KiDSJ1346+0017,206.5515,0.28894,PUB,,2019A&A...632A..56K,True,,,,,,,QUASAR,GALAXY,,,2.8,,True,1.0,,,,Double with large shear 
KIDSJ1359+0129,209.9332,1.47053,PUB,,2019A&A...632A..56K,True,,,,,,,QUASAR,GALAXY,,,0.9,,True,2.5,,,,Low-separation double 
