name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
J0013+5119,3.34808,51.31822,PUB,,2019MNRAS.483.4242L,True,2.63,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J0047+2514,11.94659,25.24085,PUB,,2019MNRAS.483.4242L,True,1.2,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J0102+2445,15.6965,24.7543,PUB,,2019MNRAS.483.4242L,True,2.085,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J0124-0033,21.23943,-0.5533,PUB,,2019MNRAS.483.4242L,True,2.84,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J0203+1612,30.9977,16.20213,PUB,,2019MNRAS.483.4242L,True,2.18,True,True,0.488,True,True,QUASAR,GALAXY,2.0,,,True,,,,,,
J0228+3953,37.04624,39.88536,PUB,,2019MNRAS.483.4242L,True,2.07,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J1238+2846,189.67778,28.78297,PUB,,2019MNRAS.483.4242L,True,2.355,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J1307+0642,196.92947,6.70376,PUB,,2019MNRAS.483.4242L,True,,,,,,,QUASAR,GALAXY,2.0,,,True,,,,,,Inconclusive
J1418-1610,214.57367,-16.16897,PUB,,2019MNRAS.483.4242L,True,1.13,True,True,,,,QUASAR,GALAXY,,,,,True,,,,,
J1428+0500,217.23102,5.00552,PUB,,2019MNRAS.483.4242L,True,1.38,True,True,,,,QUASAR,GALAXY,,,,,True,,,,,
J1515+3137,228.91601,31.62784,PUB,,2019MNRAS.483.4242L,True,1.97,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J1518+4658,229.51286,46.97113,PUB,,2019MNRAS.483.4242L,True,2.36,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J1524+4801,231.12428,48.02056,PUB,,2019MNRAS.483.4242L,True,1.7,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J1537-3010,234.3556,-30.17134,PUB,,2019MNRAS.483.4242L,True,1.72,True,True,,,,QUASAR,GALAXY,4.0,CROSS,,True,,,,,,
J1553+3149,238.4092,31.82542,PUB,,2019MNRAS.483.4242L,True,2.55,True,True,,,,QUASAR,GALAXY,,,,True,,,,,,
J1554+5817,238.5769,58.29635,PUB,,2019MNRAS.483.4242L,True,1.49,True,True,,,,QUASAR,GALAXY,,,,,True,,,,,
J1612+3920,243.05136,39.34632,PUB,,2019MNRAS.483.4242L,True,1.68,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J1616+1415,244.1934,14.26214,PUB,,2019MNRAS.483.4242L,True,2.88,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J1623+7533,245.82049,75.55507,PUB,,2019MNRAS.483.4242L,True,2.64,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J1627-0224,246.9594,-2.40363,PUB,,2019MNRAS.483.4242L,True,1.91,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J1641+1002,250.35522,10.0484,PUB,,2019MNRAS.483.4242L,True,1.72,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+OTHER,
J1653+5155,253.43865,51.91796,PUB,,2019MNRAS.483.4242L,True,1.165,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J1724+0807,261.07672,8.12308,PUB,,2019MNRAS.483.4242L,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,GALAXY+STARS,
J1817+2729,274.37855,27.49447,PUB,,2019MNRAS.483.4242L,True,3.07,True,True,,,,QUASAR,GALAXY,4.0,FOLD,,True,,,,,,
J1949+7732,297.40117,77.54416,PUB,,2019MNRAS.483.4242L,True,1.63,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J2014-3024,303.72582,-30.41457,PUB,,2019MNRAS.483.4242L,True,2.35,True,True,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,
J2032-2358,308.15721,-23.97286,PUB,,2019MNRAS.483.4242L,True,1.64,True,True,,,,QUASAR,GALAXY,,,,,,,,,,
J2132+2603,323.0079,26.0517,PUB,,2019MNRAS.483.4242L,True,2.26,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J2145+6345,326.27159,63.76145,PUB,,2019MNRAS.483.4242L,True,1.56,True,True,,,,QUASAR,GALAXY,4.0,FOLD,,True,,,,,,
J2212+3144,333.03355,31.73785,PUB,,2019MNRAS.483.4242L,True,1.71,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J2250+2117,342.64396,21.28988,PUB,,2019MNRAS.483.4242L,True,1.73,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,
J2316+0610,349.13353,6.18036,PUB,,2019MNRAS.483.4242L,True,,,,,,,QUASAR,GALAXY,2.0,,,True,,,,,,Inconclusive (lens z = 1.96?)
J2350+3654,357.53143,36.90959,PUB,,2019MNRAS.483.4242L,True,2.085,True,True,,,,QUASAR,GALAXY,2.0,,,True,,,,,,Possible third blue image in HSC gi imaging
