name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,candidate_score,original_score,flag_contaminant,contaminant_type,info
HSCJ095921+020638,149.841,2.111,PUB,,2020A&A...636A..87C,TRUE,,,,,,,,,,,1.38,,,3.0,3.0,,,Selection: –; see also:Anguita et al. (2009)
HSCJ115252+004733,178.218,0.793,PUB,,2020A&A...636A..87C,FALSE,3.76,TRUE,FALSE,0.466,TRUE,FALSE,,,,,2.78,,,3.0,3.0,,,Selection: –; see also:More et al. (2017)
HSCJ090507-001030,136.281,-0.175,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.46,,TRUE,2.1,2.1,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ090709+005648,136.79,0.947,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.64,,TRUE,2.4,2.4,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ144307-004056,220.78,-0.682,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.06,,TRUE,2.1,2.1,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ143153-013353,217.973,-1.565,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,5.56,,TRUE,1.8,1.8,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ083943+004740,129.929,0.795,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.8,,TRUE,1.7,1.7,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ223406+012057,338.529,1.349,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.48,,TRUE,1.6,1.6,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ222801+012805,337.008,1.468,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,3.2,,TRUE,2.6,2.6,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ023817-054555,39.574,-5.765,PUB,,2020A&A...636A..87C,FALSE,1.763,TRUE,FALSE,0.599,TRUE,FALSE,GALAXY,,,,1.84,TRUE,,,2.8,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ023307-043838,38.279,-4.644,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,3.3,,TRUE,1.8,1.8,,,Selection: LRG: CMASS; see also:–
HSCJ021200-040806,33.004,-4.135,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,3.18,,TRUE,1.5,1.5,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
HSCJ144230-002353,220.629,-0.398,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.34,,TRUE,1.6,1.6,,,Selection: LRG: LOWZ; see also:–
HSCJ224221+001144,340.59,0.196,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.82,,TRUE,2.9,2.9,,,Selection: LRG: LOWZ; see also:Sonnenfeld et al. (2018)
HSCJ223359+015826,338.5,1.974,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,1.7,,TRUE,1.5,1.5,,,Selection: LRG: LOWZ; see also:Sonnenfeld et al. (2018)
HSCJ015756-021809,29.486,-2.303,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,2.14,,TRUE,1.8,1.8,,,Selection: LRG: LOWZ; see also:Sonnenfeld et al. (2018)
HSCJ022511-045433,36.296,-4.909,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,3.06,,TRUE,2.1,2.1,,,Selection: LRG: LOWZ; see also:–
HSCJ163257+424611,248.241,42.77,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,3.28,,TRUE,3.0,3.0,,,Selection: LRG: Kazin et al. (2010); see also:–
HSCJ090613+032939,136.555,3.494,PUB,,2020A&A...636A..87C,TRUE,,,,,,,GALAXY,,,,1.88,,TRUE,1.6,1.6,,,Selection: LRG: CMASS; see also:Sonnenfeld et al. (2018)
