name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
GRALJ0248+1913,42.20291,19.22527,PUB,,2021ApJ...921...42S,False,2.424,True,True,,,,QUASAR,GALAXY,4.0,,1.7,True,,,,,,Paper III; Shajib et al. (2019)
GRALJ0607-2152,91.79499,-21.8713,PUB,,2021ApJ...921...42S,True,1.302,True,True,,,,QUASAR,GALAXY,4.0,,1.7,True,,,,,,
GRALJ0608+4229,92.1725,42.49361,PUB,,2021ApJ...921...42S,True,2.345,True,True,,,,QUASAR,GALAXY,4.0,,1.3,True,,,,,,"""Auriga's Slingshot"""
GRALJ0659+1629,104.767,16.48583,PUB,,2021ApJ...921...42S,False,3.083,True,True,0.766,True,True,QUASAR,GALAXY,4.0,,6.8,True,,,,,,"Paper III; ""Orion's Crossbow""; deflector at z = 0.766"
GRALJ0818-2613,124.6179,-26.2236,PUB,,2021ApJ...921...42S,True,2.164,True,True,,,,QUASAR,GALAXY,4.0,,6.2,True,,,,,,"""Argo's Rose"""
GRALJ1131-4419,172.75,-44.3333,PUB,,2021ApJ...921...42S,False,1.09,True,True,,,,QUASAR,GALAXY,4.0,,1.6,True,,,,,,"Paper I, III, IV; ""Centaurus' Victory"""
GRALJ1537-3010,234.3554,-30.1713,PUB,,2021ApJ...921...42S,False,1.721,True,True,,,,QUASAR,GALAXY,4.0,,3.3,True,,,,,,"Paper III; Lemon et al. (2019); ""Wolf's Paw"""
GRALJ1651-0417,252.772,-4.29027,PUB,,2021ApJ...921...42S,False,1.451,True,True,0.591,True,True,QUASAR,GALAXY,4.0,,10.1,True,,,,,,"""Dragon Kite""; deflector at z = 0.591"
GRALJ1817+2729,274.3783,27.49444,PUB,,2021ApJ...921...42S,False,3.074,True,True,,,,QUASAR,GALAXY,4.0,,1.8,True,,,,,,"Paper III; Lemon et al. (2019); ""Hercules' Sword"""
GRALJ2017+6204,304.4545,62.07861,PUB,,2021ApJ...921...42S,False,1.724,True,True,,,,QUASAR,GALAXY,4.0,,0.7,False,True,3.0,,,,Paper III
GRALJ2038-4008,309.5112,-40.1372,PUB,,2021ApJ...921...42S,False,0.775,True,True,0.228,True,True,QUASAR,GALAXY,4.0,,2.5,True,,,,,,"Paper I, III, Agnello et al. (2018); deflector at z = 0.228; ""Microscope Lens"""
GRALJ2103-0850,315.8708,-8.84694,PUB,,2021ApJ...921...42S,True,2.455,True,True,,,,QUASAR,GALAXY,4.0,,1.0,False,True,2.5,,,,"""Aquarius' Tear"""
J0001+2040,0.4132,20.6668,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.542) + star
J0009+3719,2.46667,37.31972,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.155) + star
J0015+4853,3.83333,48.88527,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.255) + star
J0036+2751,9.01667,27.85388,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.138) + star
J0101+6719,15.34583,67.31833,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0103+3607,15.83333,36.11805,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,star + likely obscured AGN
J0109+5002,17.44166,50.04583,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,AGN (z=0.200) + star + star
J0112+3248,18.11249,32.81055,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.366) + star
J0115+5625,18.9982,56.4185,PUB,,2021ApJ...921...42S,False,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0218+7445,34.59583,74.75638,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,close stellar pair (or single star)
J0233+4100,38.41249,41.01277,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0256-1556,44.1125,-15.9455,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=1.064) + star
J0523+0705,80.78333,7.09917,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star (close pair)
J0526+1213,81.60416,12.22277,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0545+6035,86.32916,60.59861,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0549+0518,87.39279,5.30404,PUB,,2021ApJ...921...42S,False,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0553+2324,88.35416,23.40555,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0604+0955,91.00416,9.92944,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0618-2850,94.5375,-28.8358,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=0.801) + star
J0635+3017,98.79166,30.29527,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS+GALAXY,star + star + faint galaxy (z=0.130)
J0642+5337,100.7083,53.62833,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR PAIR,quasar pair (z=1.858 + z=1.853)
J0651+1937,102.9041,19.62777,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,quasar (z=2.581) + star
J0656-2236,104.0499,-22.6122,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0658-2850,104.6541,-28.8463,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,stars
J0659+1057,104.8166,10.96333,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star + star
J0700+1214,105.0291,12.245,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,PLANETARY NEBULA,likely planetary nebula
J0700+1708,105.1666,17.14055,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,STARS,star (close separation)
J0706-2311,106.6374,-23.1936,PUB,,2021ApJ...921...42S,True,,,,,,,QUASAR,GALAXY,,,,,,,,True,QUASAR+STAR,AGN (z=0.70) + star
