name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
J000514.20+702249.2,1.30917,70.38033,PUB,,2022ApJ...925..162C,True,0.7,False,True,,,,QUASAR,,2.0,,0.58,,True,1.0,,,,dual/lensed quasar
J014859.18-553037.5,27.24625,-55.5104,PUB,,2022ApJ...925..162C,True,0.1,False,True,,,,QUASAR,,2.0,,0.56,,True,0.25,,,,quasar+star
J024134.91+780107.0,40.39541,78.01861,PUB,,2022ApJ...925..162C,True,2.35,False,True,,,,QUASAR,,2.0,,0.58,,True,0.25,,,,quasar+star
J024628.63+692234.0,41.61916,69.37611,PUB,,2022ApJ...925..162C,True,0.95,False,True,,,,QUASAR,,2.0,,0.49,,True,0.25,,,,quasar+star
J034828.66-401513.1,57.11916,-40.2536,PUB,,2022ApJ...925..162C,True,2.4,False,True,,,,QUASAR,,2.0,,0.5,,True,1.5,,,,dual/lensed quasar
J045528.99-445637.6,73.87041,-44.9437,PUB,,2022ApJ...925..162C,True,0.5,False,True,,,,QUASAR,,3.0,,0.56,,,,,True,QUASAR PAIR,triple quasar; The targets reveal irregular merger features.
J045905.23-071407.1,74.77166,-7.2353,PUB,,2022ApJ...925..162C,True,0.25,False,True,,,,QUASAR,,2.0,,0.63,,,,,True,QUASAR PAIR,dual quasar; The targets reveal irregular merger features.
J053620.23+503826.2,84.08416,50.64061,PUB,,2022ApJ...925..162C,True,1.8,False,True,,,,QUASAR,,2.0,,0.32,,True,1.5,,,,dual/lensed quasar
J055455.69+511252.8,88.73166,51.21466,PUB,,2022ApJ...925..162C,True,0.7,False,True,,,,QUASAR,,2.0,,0.67,,True,0.25,,,,quasar+star
J060734.57-064838.5,91.89374,-6.81069,PUB,,2022ApJ...925..162C,True,2.3,False,True,,,,QUASAR,,2.0,,0.25,,True,0.25,,,,quasar+star
J062903.08-753642.8,97.26249,-75.6118,PUB,,2022ApJ...925..162C,True,0.3,False,True,,,,QUASAR,,2.0,,0.51,,True,0.25,,,,quasar+stars
J074800.55+314647.4,117.002,31.77983,PUB,,2022ApJ...925..162C,True,1.407,True,True,,,,QUASAR,,2.0,,0.53,,True,0.25,,,,dual/lensed quasar
J074817.13+191003.0,117.0712,19.1675,PUB,,2022ApJ...925..162C,True,3.096,True,True,,,,QUASAR,,2.0,,0.4,,True,0.25,,,,quasar+star
J074922.96+225511.7,117.3454,22.91991,PUB,,2022ApJ...925..162C,True,2.166,True,True,,,,QUASAR,,2.0,,0.46,,,,,True,QUASAR PAIR,dual quasar; See detailed discussion in Shen et al. (2021).
J075350.57+424743.9,118.4604,42.79552,PUB,,2022ApJ...925..162C,True,1.523,True,True,,,,QUASAR,,2.0,,0.33,,True,0.25,,,,quasar+star
J075824.26+145752.4,119.6008,14.96455,PUB,,2022ApJ...925..162C,True,2.568,True,True,,,,QUASAR,,2.0,,0.5,,True,0.25,,,,quasar+stars
J081603.79+430521.1,124.0154,43.08919,PUB,,2022ApJ...925..162C,True,0.586,True,True,,,,QUASAR,,2.0,,0.72,,,,,True,QUASAR+STAR,quasar+star; The classification is based on the unresolved SDSS spectra.
J082341.08+241805.6,125.9208,24.30155,PUB,,2022ApJ...925..162C,False,1.811,True,True,,,,QUASAR,,2.0,,0.64,,True,1.5,,,,dual/lensed quasar
J084129.77+482548.4,130.3737,48.43011,PUB,,2022ApJ...925..162C,True,2.949,True,True,,,,QUASAR,,2.0,,0.46,,,,,True,QUASAR PAIR,dual quasar; See detailed discussion in Shen et al. (2021).
J090408.66+333205.2,136.0358,33.53477,PUB,,2022ApJ...925..162C,True,1.103,True,True,,,,QUASAR,,2.0,,0.3,,True,0.25,,,,quasar+star
