name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
J0030-3358,7.674,-33.9767,PUB,,2022arXiv220607714L,True,1.58,True,True,0.715,True,True,QUASAR,GALAXY,2.0,,2.03,True,,,,,,
J0045-3937,11.3665,-39.6262,PUB,,2022arXiv220607714L,True,1.85,True,True,,,,QUASAR,GALAXY,2.0,,1.14,True,,,,,,
J0116+4052,19.1635,40.8811,PUB,,2022arXiv220607714L,True,1.85,True,True,,,,QUASAR,GALAXY,2.0,,1.28,True,,,,,,
J0149-6532,27.2906,-65.5404,PUB,,2022arXiv220607714L,True,0.944,False,True,0.395,True,True,QUASAR,GALAXY,2.0,,2.74,False,True,3.0,,,,
J0152-2448,28.0797,-24.8105,PUB,,2022arXiv220607714L,True,1.69,True,True,,,,QUASAR,GALAXY,2.0,,1.91,True,,,,,,
J0156-2751,29.1039,-27.8562,PUB,,2022arXiv220607714L,True,2.97,True,True,,,,QUASAR,GALAXY,2.0,,1.5,True,,,,,,
J0200-1509,30.0872,-15.1609,PUB,,2022arXiv220607714L,True,1.185,True,True,,,,QUASAR,GALAXY,2.0,,0.78,True,,,,,,
J0209-3841,32.3047,-38.6961,PUB,,2022arXiv220607714L,True,2.87,True,True,,,,QUASAR,GALAXY,2.0,,1.23,True,,,,,,
J0232-2429,38.0655,-24.4942,PUB,,2022arXiv220607714L,True,1.578,True,True,,,,QUASAR,GALAXY,2.0,,1.44,True,,,,,,
J0247+7706,41.8664,77.1014,PUB,,2022arXiv220607714L,True,2.73,True,True,,,,QUASAR,GALAXY,2.0,,1.94,True,,,,,,
J0247-2646,41.8764,-26.7729,PUB,,2022arXiv220607714L,True,1.47,True,True,,,,QUASAR,GALAXY,2.0,,1.22,True,,,,,,
J0247-0800,41.9561,-8.015,PUB,,2022arXiv220607714L,True,3.28,True,True,0.198,True,True,QUASAR,GALAXY,2.0,,1.68,True,,,,,,
J0247-6349,41.978,-63.8232,PUB,,2022arXiv220607714L,True,2.295,True,True,,,,QUASAR,GALAXY,2.0,,1.49,True,,,,,,
J0310-5545,47.7029,-55.7534,PUB,,2022arXiv220607714L,True,2.31,True,True,0.298,True,True,QUASAR,GALAXY,2.0,,3.57,True,,,,,,
J0325-2232,51.4511,-22.5409,PUB,,2022arXiv220607714L,True,1.35,True,True,,,,QUASAR,GALAXY,2.0,,1.01,True,,,,,,
J0329-0208,52.428,-2.1379,PUB,,2022arXiv220607714L,True,1.352,True,True,,,,QUASAR,GALAXY,2.0,,1.32,True,,,,,,
J0339-6121,54.787,-61.3625,PUB,,2022arXiv220607714L,True,2.89,True,True,,,,"QUASAR, LOBAL QUASAR, BAL QUASAR",GALAXY,2.0,,1.26,True,,,,,,
J0343-2828,55.7978,-28.4779,PUB,,2022arXiv220607714L,True,1.655,True,True,0.385,True,True,GALAXY,GALAXY PAIR,2.0,,4.88,True,,,,,,
J0346-6414,56.5579,-64.2417,PUB,,2022arXiv220607714L,True,2.96,True,True,,,,QUASAR,GALAXY,2.0,,1.91,True,,,,,,
J0347-2154,56.769,-21.9095,PUB,,2022arXiv220607714L,True,0.81,True,True,0.187,True,True,QUASAR,GALAXY,2.0,,1.87,True,,,,,,
J0350-4611,57.7146,-46.1858,PUB,,2022arXiv220607714L,True,1.505,True,True,,,,"QUASAR, BAL QUASAR",GALAXY,2.0,,1.3,True,,,,,,
J0355-5624,58.804,-56.4147,PUB,,2022arXiv220607714L,True,1.86,True,True,,,,QUASAR,GALAXY,2.0,,1.29,True,,,,,,
J0401-2514,60.4504,-25.2439,PUB,,2022arXiv220607714L,True,1.32,True,True,,,,QUASAR,GALAXY,2.0,,1.45,True,,,,,,
J0405-3730,61.2721,-37.5128,PUB,,2022arXiv220607714L,True,3.585,True,True,0.2295,True,True,QUASAR,GALAXY,2.0,,1.7,True,,,,,,
J0416-5606,64.1783,-56.1073,PUB,,2022arXiv220607714L,True,1.45,True,True,,,,QUASAR,GALAXY,2.0,,1.04,True,,,,,,
J0416+7428,64.1972,74.4827,PUB,,2022arXiv220607714L,True,0.9,True,True,0.097,True,True,QUASAR,GALAXY,2.0,,2.64,True,,,,,,
J0440-0905,70.0482,-9.0911,PUB,,2022arXiv220607714L,True,2.105,True,True,,,,QUASAR,GALAXY,2.0,,1.69,True,,,,,,
J0457-7820,74.3483,-78.3466,PUB,,2022arXiv220607714L,True,3.145,True,True,,,,QUASAR,GALAXY,3.0,"NAKED CUSP, CUSP",4.89,True,,,,,,
