name,ra,dec,access,imagename,paper_id,flag_discovery,z_source,z_source_secure,flag_zsource,z_lens,z_lens_secure,flag_zlens,source_type,lens_type,n_img,image_conf,image_sep,flag_confirmed,flag_candidate,score,original_score,flag_contaminant,contaminant_type,info
DECALSJ0020-4146,5.09676,-41.77789,PUB,,2022arXiv220806356D,True,1.58,False,False,,,,QUASAR,GALAXY,2.0,,,,True,1.2,A,,,
DECALSJ0037+2058,9.3162,20.97377,PUB,,2022arXiv220806356D,True,2.0486,True,False,,,,QUASAR,GALAXY,2.0,,,,True,2.25,A,,,
DECALSJ0037-0755,9.42158,-7.91779,PUB,,2022arXiv220806356D,True,,,,,,,QUASAR,GALAXY,2.0,,,,True,1.5,A,,,
DECALSJ0041-0203,10.36426,-2.05894,PUB,,2022arXiv220806356D,True,,,,,,,QUASAR,GALAXY,2.0,,,,True,1.5,A,,,
DECALSJ0058+2524,14.53969,25.40987,PUB,,2022arXiv220806356D,True,2.6,False,False,,,,QUASAR,GALAXY,2.0,,,,True,1.8,A,,,
DECALSJ0113-0226,18.34816,-2.44325,PUB,,2022arXiv220806356D,True,1.0595,True,False,,,,QUASAR,GALAXY,2.0,,,,True,1.8,A,,,
DECALSJ0122-1344,20.65682,-13.73958,PUB,,2022arXiv220806356D,True,,,,,,,QUASAR,GALAXY,2.0,,,,True,2.25,A,,,
DECALSJ0125-1012,21.31717,-10.20807,PUB,,2022arXiv220806356D,False,,,,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0133+0816,23.26938,8.279,PUB,,2022arXiv220806356D,False,,,,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0152-2448,28.07975,-24.81079,PUB,,2022arXiv220806356D,False,2.42,False,False,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0156-2751,29.10371,-27.85612,PUB,,2022arXiv220806356D,False,,,,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0200-1509,30.08731,-15.16085,PUB,,2022arXiv220806356D,False,,,,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0209-3841,32.3047,-38.69589,PUB,,2022arXiv220806356D,False,,,,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0215-4728,33.85062,-47.47905,PUB,,2022arXiv220806356D,False,,,,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0216-5558,34.12754,-55.97032,PUB,,2022arXiv220806356D,True,,,,,,,QUASAR,GALAXY,2.0,,,,True,1.8,A,,,
DECALSJ0221+0555,35.44747,5.91924,PUB,,2022arXiv220806356D,False,1.52,False,False,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0229+0320,37.49255,3.3417,PUB,,2022arXiv220806356D,False,,,,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0230-0704,37.5191,-7.07944,PUB,,2022arXiv220806356D,False,2.01,False,False,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0232-2429,38.06566,-24.49433,PUB,,2022arXiv220806356D,False,,,,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0232-5821,38.15772,-58.35727,PUB,,2022arXiv220806356D,True,,,,,,,QUASAR,GALAXY,2.0,,,,True,1.5,A,,,
DECALSJ0240-0208,40.07682,-2.14746,PUB,,2022arXiv220806356D,False,2.42,False,False,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0329-0208,52.42832,-2.13797,PUB,,2022arXiv220806356D,False,1.35,False,False,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0339-6121,54.78672,-61.36256,PUB,,2022arXiv220806356D,False,,,,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0350-4611,57.71441,-46.18595,PUB,,2022arXiv220806356D,False,,,,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0400-6443,60.13333,-64.73158,PUB,,2022arXiv220806356D,True,,,,,,,QUASAR,GALAXY,2.0,,,,True,1.5,A,,,
DECALSJ0401-2514,60.45043,-25.24373,PUB,,2022arXiv220806356D,False,1.33,False,False,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0405-3730,61.27246,-37.51308,PUB,,2022arXiv220806356D,False,,,,,,,QUASAR,GALAXY,2.0,,,,,,A,,,
DECALSJ0422-1427,65.65671,-14.46665,PUB,,2022arXiv220806356D,True,1.77,False,False,,,,QUASAR,GALAXY,2.0,,,,True,2.55,A,,,
DECALSJ0422-1453,65.68204,-14.89057,PUB,,2022arXiv220806356D,True,,,,,,,QUASAR,GALAXY,2.0,,,,True,1.2,A,,,
