name,ra,dec,imagename,paper_id,flag_discovery,redshift_source,redshift_source_secure,flag_source_redshift,redshift_lens,redshift_lens_secure,flag_lens_redshift,n_images,image_configuration,image_separation,lens_type,source_type,flag_confirmed,flag_contaminant,contaminant_type,flag_candidate,candidate_score,uploader_comment,other_comment
SDSS J0203-0022,30.799484,-0.3763533,,2021MNRAS.502.4617T,True,1.6161817,True,True,0.502251,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,1.75," Discernable OII(b, a). Emission-line is unusually wide. Potential sky contamination near OII(b, a). Sky emissions located near the left side of the candidate emission-line is approximate or greater than 30 X 10^-17 ergs/s/cm^2/Ang. Occurance of passed first-inspection detections observed in the restframe near the center of the candidate emission-line is significantly more common than the local median around OII(b, a).",
SDSS J0209+0014,32.393986,0.24629664,,2021MNRAS.502.4617T,True,1.0949216,True,True,0.466849,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,2.25," Discernable OII(b, a). The shape of the OII(b, a) doublet best matches a double Gaussian. Potential sky contamination near OII(b, a). Sky emissions located near the center of the candidate emission-line is approximate or less than 20 X 10^-17 ergs/s/cm^2/Ang. Sky emissions located near the right side of the candidate emission-line is approximate or greater than 30 X 10^-17 ergs/s/cm^2/Ang.",
SDSS J0230-0032,37.707367,-0.5432817,,2021MNRAS.502.4617T,True,1.5093884,True,True,0.613123,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,1.75," Emergent OII(b, a). The shape of the OII(b, a) doublet best matches a double Gaussian. Potential sky contamination near OII(b, a). Sky emissions located near the left side of the candidate emission-line is approximate or less than 20 X 10^-17 ergs/s/cm^2/Ang.",
SDSS J0231+0024,37.89277,0.41235572,,2021MNRAS.502.4617T,True,1.4264305,True,True,0.641472,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,3.0," Well-formed OII(b, a). The shape of the OII(b, a) doublet best matches a double Gaussian. Potential sky contamination near OII(b, a). Sky emissions located near doublet is approximate or less than 20 X 10^-17 ergs/s/cm^2/Ang. Occurrence of detections observed in the restframe near the center of the candidate emission-line is slightly more common than the local median around OII(b, a). More than one observation shows a well formed OII which raised the confidence of this detection.",
SDSS J0226+0110,36.530914,1.1712995,,2021MNRAS.502.4617T,True,0.9411892,True,True,0.468398,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,3.0," Discernable OII(b, a). The shape of the OII(b, a) doublet best matches a mix between double and single Gaussian. Multiple emission-line evidence. Discernable OII(b, a). Discernable HIc. Discernable OIIIa. Potential sky contamination near OII(b, a). Sky emissions located near the right side of the candidate emission-line is approximately between 20 X 10^-17 ergs/s/cm^2/Ang and 30 X 10^-17 ergs/s/cm^2/Ang. Signal often spikes towards edge of skymask. Potential sky contamination near HIc. Sky emissions located near the right side of the candidate emission-line is approximate or greater than 30 X 10^-17 ergs/s/cm^2/Ang. Potential sky contamination near OIIIa. Sky emissions located near the center of the candidate emission-line is approximate or greater than 30 X 10^-17 ergs/s/cm^2/Ang. Occurrence of detections observed in the restframe near the center of the candidate emission-line is more common than the local median around OIIIa. Visual inspection of the image reveals supportive indications of possible overlapped colors of source galaxy behind foreground target (emergent in DECaLS image), which implies a total grade of A+. There are several other re-observations that show OII and OIIIa in most with possible OIIIb.",
SDSS J0717+4024,109.45174,40.414165,,2021MNRAS.502.4617T,True,1.4241962,True,True,0.513702,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,3.0," Well-formed OII(b, a). The shape of the OII(b, a) doublet best matches a double Gaussian. SN is>=12 for OII(b, a). Potential sky contamination near OII(b, a). Sky emissions located near the center of the candidate emission-line is approximate or less than 20 X 10^-17 ergs/s/cm^2/Ang. Sky emissions located near the right side of the candidate emission-line is approximate or less than 20 X 10^-17 ergs/s/cm^2/Ang. Nearby sky emission(s) are either relatively insignificant or miss aligned to previously stated candidate emission, and thus less likely to create a false emission-line from under subtraction. OII(b, a) doublet feature is indicated in individual exposures. Visual inspection of the image reveals supportive indications of several arcs (discernable in MZLS+BASS image and SDSS image), which implies a total grade of A+.",
SDSS J0726+4105,111.53496,41.087234,,2021MNRAS.502.4617T,True,1.3002117,True,True,0.494892,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,2.5," Discernable OII(b, a). The shape of the OII(b, a) doublet best matches a double Gaussian.",
SDSS J0732+4131,113.00107,41.521015,,2021MNRAS.502.4617T,True,1.1615629,True,True,0.536801,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,1.75," Discernable OII(b, a). The shape of the OII(b, a) doublet best matches a double Gaussian. Candidate emission-line is skinnier than typical for OII(b, a) emissions. Potential sky contamination near OII(b, a). Sky emissions located near doublet is approximate or less than 20 X 10^-17 ergs/s/cm^2/Ang. Suspicious variance in calibration or sky model observed.",
SDSS J0731+3635,112.96937,36.58922,,2021MNRAS.502.4617T,True,0.9623109,True,True,0.479044,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,2.75," Signal width matches OII(b, a). The shape of the OII(b, a) doublet best matches a mix between double and single Gaussian. Multiple emission-line evidence. Signal width matches OII(b, a). Emergent HIb. Well-formed OIIIa. Potential sky contamination near OII(b, a). Sky emissions located near the center of the candidate emission-line is approximate or greater than 30 X 10^-17 ergs/s/cm^2/Ang. Sky emissions located near the left side of the candidate emission-line is approximate or less than 20 X 10^-17 ergs/s/cm^2/Ang. Visual inspection of the image reveals supportive indications of possible overlapped colors of source galaxy behind foreground target (emergent in MZLS+BASS image), which implies a total grade of A.",
SDSS J0747+4729,116.96968,47.483543,,2021MNRAS.502.4617T,True,1.1896154,True,True,0.500057,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,2.75," Discernable OII(b, a). The shape of the OII(b, a) doublet best matches a double Gaussian.",
SDSS J0743+3945,115.79645,39.763123,,2021MNRAS.502.4617T,True,1.2875358,True,True,0.567962,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,3.0," Well-formed OII(b, a). The shape of the OII(b, a) doublet best matches a double Gaussian. SN is>=12 for OII(b, a). Potential sky contamination near OII(b, a). Sky emissions located near the right side of the candidate emission-line is approximate or less than 20 X 10^-17 ergs/s/cm^2/Ang. Nearby sky emission(s) are either relatively insignificant or miss aligned to previously stated candidate emission, and thus less likely to create a false emission-line from under subtraction. OII(b, a) doublet feature is indicated in individual exposures.",
SDSS J0745+4010,116.38995,40.181683,,2021MNRAS.502.4617T,True,1.4823767,True,True,0.490113,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,2.25," Discernable OII(b, a). The shape of the OII(b, a) doublet best matches a single Gaussian. SN is>=12 for OII(b, a). Potential sky contamination near OII(b, a). Sky emissions located near the center of the candidate emission-line is approximate or less than 20 X 10^-17 ergs/s/cm^2/Ang. Nearby sky emission(s) are either relatively insignificant or miss aligned to previously stated candidate emission, and thus less likely to create a false emission-line from under subtraction. OII(b, a) doublet feature is indicated in individual exposures.",
SDSS J0746+4345,116.69519,43.766018,,2021MNRAS.502.4617T,True,1.2603087,True,True,0.59533,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,1.25," Emergent OII(b, a). The shape of the OII(b, a) doublet best matches a mix between double and single Gaussian. Potential sky contamination near OII(b, a). Sky emissions located near the right side of the candidate emission-line is approximate or greater than 30 X 10^-17 ergs/s/cm^2/Ang. Sky emissions located near the left side of the candidate emission-line is approximate or greater than 30 X 10^-17 ergs/s/cm^2/Ang. Nearby sky emission(s) are either relatively insignificant or miss aligned to previously stated candidate emission, and thus less likely to create a false emission-line from under subtraction.",
SDSS J0750+4608,117.56153,46.13488,,2021MNRAS.502.4617T,True,1.1123598,True,True,0.557682,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,2.25," Emergent OII(b, a). The shape of the OII(b, a) doublet best matches a single Gaussian. Potential sky contamination near OII(b, a). Sky emissions located near doublet is approximately between 20 X 10^-17 ergs/s/cm^2/Ang and 30 X 10^-17 ergs/s/cm^2/Ang. Visual inspection of the image reveals supportive indications of nearby object (discernable in MZLS+BASS image), which implies a total grade of B+.",
SDSS J0748+4520,117.16383,45.334892,,2021MNRAS.502.4617T,True,1.4658567,True,True,0.330535,True,True,,,,LRG,EMISSION LINE GALAXY,False,False,,True,2.5," Discernable OII(b, a). The shape of the OII(b, a) doublet best matches a mix between double and single Gaussian. OII(b, a) doublet feature is indicated in individual exposures.",
